PESEL;Imię;Nazwisko;Czy nadal pracuje;Data Zatrudnienia
80092727490;CELINA;KOMENDA;1;03-08-2017
50102994741;SABINA;TWARDZIK;1;09-03-2019
59042022329;WACLAW;RATYNSKI;1;02-06-2019
86092601165;STANISLAW;DOBIJA;1;30-10-2017
61030195898;MALGORZATA;CIESLAK;1;13-05-2019
87033029839;MAJA;KOTLOWSKA;1;07-08-2019
51071455679;SABINA;GONTARZ;0;01-02-2019
83033042977;LARYSA;ZBOROWSKA;0;10-05-2017
93112433349;LESLAW;BOCIAN;0;01-11-2019
62011809294;TAMARA;TEODORCZYK;1;21-06-2017
85061443890;PAULINA;SWIATKOWSKA;0;05-02-2017
68080979902;LUDWIK;KARWOWSKI;0;17-08-2019
68110786607;ALFRED;WARCZAK;1;08-12-2016
93092139554;DIANA;SYSKA;1;25-09-2017
61051626252;BARTOSZ;HERBUT;1;25-05-2017
95092713053;PATRYCJA;ROZUM;1;30-07-2017
94062512379;PAULA;WALCZUK;1;22-09-2017
58122263498;ROBERT;SKORUPINSKI;0;13-03-2017
82121349279;JANINA;FRASZCZAK;0;02-06-2016
82022399676;IVANNA;GRONSKA;0;06-04-2017
89032691006;BOGUSLAWA;NYGA;1;10-10-2018
87072606790;MIA;FILIPKOWSKA;1;05-10-2019
79070516205;ZUZANNA;SZUBERT;0;29-06-2016
96020520679;LUCJAN;GAPSKI;1;07-12-2018
63012413480;SANDRA;MENDAK;0;19-08-2017
78120102089;HALINA;SAMOL;0;14-03-2018
96101401967;CZESLAW;RUDENKO;1;04-01-2016
63042720521;ANATOLII;PIECZKA;1;15-10-2017
56061694098;MILOSZ;PISKORZ;1;25-09-2019
64051905547;WLODZIMIERZ;LASZEWSKI;0;23-06-2019
55012657713;ZBIGNIEW;GDULA;1;20-11-2019
61092162890;ZDZISLAW;PIECHOCINSKI;0;21-11-2017
96122928096;KORNEL;KARASEK;0;07-01-2016
85031701153;DOMINIKA;SOLAK;0;23-10-2019
95101414621;ZDZISLAW;SMIETANSKI;1;29-10-2018
66121648842;NIKODEM;BAJKOWSKI;1;13-06-2016
70020468108;SONIA;KURPIEWSKA;1;20-09-2016
96083193234;YEVHEN;SIMON;0;02-09-2017
62103050201;ELWIRA;OLEJNICZAK;0;13-06-2019
91061114786;YURII;SALWA;1;16-09-2017
60122976960;OLENA;TOFIL;0;28-03-2019
85040665419;ALFRED;PIETRYGA;1;23-03-2016
87090672951;PETRO;AUGUSCIK;0;21-03-2019
85081434517;PETRO;LABUDA;0;27-06-2016
54121964651;AURELIA;KLECZEK;1;11-10-2017
69010830249;AMELIA;KUTSENKO;1;19-05-2019
60083045143;BOGDAN;SIEDLACZEK;0;05-08-2016
58062254954;NATAN;PATYNA;0;15-12-2018
62012883802;ALLA;SZCZESNA;1;13-06-2019
86051002727;KORNELIA;KUDLINSKA;1;07-11-2019
67092706012;NIKODEM;ADAMUS;0;26-04-2016
57101440532;BEATA;OPALA;0;15-08-2016
88061185054;MIKOLAJ;MOZDZIERZ;0;23-03-2016
76061596626;GRZEGORZ;SKOTNICKI;1;22-10-2017
56022220601;ANATOLII;MULARCZYK;0;16-09-2018
56042207024;HALYNA;DZIEWIECKA;1;29-07-2016
76011057090;STANISLAWA;KORNIIENKO;1;19-07-2017
88021128932;WIESLAW;MIGACZ;1;25-05-2016
76082552072;VALENTYNA;BILAN;0;20-02-2019
65011087086;MAGDALENA;MRUGALA;1;03-07-2017
95041874451;JAN;MISKOWIEC;0;18-01-2019
83022655135;LECH;RADZEWICZ;0;06-11-2016
73090756126;ROZALIA;LISOWSKA;0;06-10-2022
66082630096;MARK;DEBEK;0;03-04-2023
94080764848;LUCJA;LESNA;1;26-12-2021
76090591168;OLIWIER;HONCHAROV;0;02-02-2022
53072602470;BOLESLAW;BRZOSKOWSKI;0;10-05-2021
56040781852;JULIA;WAWRZYNCZAK;1;30-03-2022
94102505383;OLENA;WOLANIN;1;18-09-2023
65022213573;MARZENA;TROSZCZYNSKA;1;25-12-2020
55053135133;WLODZIMIERZ;GEBKA;0;23-11-2020
93010354492;EWELINA;SZEREMETA;0;24-03-2022
