Id;Imię;Nazwisko;Data Urodzenia;Data Rejestracji;Pesel
118;ANDZELIKA;WALKOWIAK;30-07-1987;21-02-2017;853030865565
119;SARA;PODOLAK;12-01-1956;03-05-2017;759111007873
120;ALLA;BEK;30-07-2000;31-01-2017;154102789663
121;KALINA;LESZCZYNSKA;12-08-1976;07-07-2018;791102036749
122;IVAN;PLOCH;18-10-1952;26-12-2016;202021640048
123;RENATA;DOMAGALSKA;30-10-1981;16-09-2019;565092719594
124;BOGDAN;MICHNIEWICZ;22-11-1956;07-09-2018;897020905892
125;ELZBIETA;FRACZEK;11-04-1956;20-12-2017;774021274777
126;RENATA;SZKUTNIK;03-09-1977;02-06-2016;898072259822
127;SABINA;ZDZIECH;17-08-1959;28-05-2017;399121109135
128;KLARA;KAPELA;25-04-2001;07-06-2018;955031863792
129;BOGDAN;STRYCHALSKI;02-01-1977;07-04-2017;389112539733
130;ALINA;WIERZBICKA;21-01-1962;19-05-2016;863072551275
131;JEDRZEJ;FATYGA;21-07-1984;24-02-2017;555011604367
132;WOJCIECH;STACHELEK;13-12-1970;20-01-2019;387082900591
133;DAVID;LAGODA;15-09-1997;13-06-2016;954013089854
134;ROZA;SZWED;11-01-1957;21-01-2016;990122847841
135;BORYS;SAKOWSKI;12-02-1971;03-02-2016;587032292779
136;HENRYK;WEBER;26-09-1964;11-03-2016;280052926479
137;VOLODYMYR;BERNAT;10-01-1953;19-03-2017;175101639767
138;MARTYNA;SMOTER;20-05-1963;26-08-2018;298050264161
139;ANATOLII;WLODAREK;11-02-2002;17-01-2017;569030770852
140;ADRIANA;KUPIDURA;11-05-1962;18-04-2017;184081719496
141;ALEKSANDER;RYKACZEWSKI;21-03-1964;25-06-2018;966102683873
142;HENRYKA;RYNKOWSKA;29-03-1996;24-08-2017;493051723840
143;ANETA;PROKOPIUK;13-05-1976;23-11-2018;364071183062
144;WIESLAW;NIWINSKI;03-06-1968;06-01-2018;270052112635
145;SZCZEPAN;LUKASIK;18-08-2001;03-11-2018;998100656516
146;KLARA;KEDRA;12-06-2000;18-04-2019;480010346766
147;ROMUALD;MARUSZAK;25-06-1999;30-01-2019;577100900672
148;OLHA;LESIK;11-04-2001;23-09-2017;956052239759
149;ANASTASIIA;KOZIOLEK;01-01-1999;01-05-2017;165021277960
150;BRONISLAWA;JURASZ;14-06-1987;11-11-2016;351072953428
151;URSZULA;MORON;25-03-1971;19-01-2018;596050504009
152;RYSZARD;NIEMCZYK;18-03-1999;23-05-2017;176013058942
153;DIANA;ZAJKOWSKA;07-04-1974;06-04-2017;894020247453
154;DANIELA;LEE;14-11-1979;29-12-2019;986111383896
155;LEOKADIA;GUCWA;14-05-1993;30-03-2017;796083052068
156;SEBASTIAN;BIALAS;12-03-1981;29-10-2018;602080380461
157;YEVHENII;KACPERSKI;12-03-1956;04-08-2018;963011428824
158;KAROL;FERENC;20-08-1995;26-06-2016;395011264491
159;ROZALIA;KUCZMA;17-06-1963;25-05-2018;996021113011
160;LARYSA;LASKA;16-03-1982;31-03-2018;758042136720
161;MARIKA;GLODOWSKA;06-08-2002;21-12-2016;976101559463
162;NORBERT;KRUCZEK;22-05-1995;30-06-2018;560110879040
163;ZOFIA;CIELECKA;10-01-2001;13-12-2019;879033191712
164;AGATA;MIGAS;29-03-1973;25-07-2019;773022690926
165;WLODZIMIERZ;TELEGA;15-06-1984;19-06-2018;295012447018
166;LAURA;BLASZCZYK;29-07-1965;08-02-2018;156032933103
167;MARCEL;GOLEBIEWSKI;18-11-1955;04-07-2019;864032651102
168;MARZANNA;MELNYCHUK;03-10-1979;20-07-2017;858061693200
169;IZABELLA;KLUZ;21-07-1968;09-06-2017;883021858811
170;HALYNA;GROSS;30-10-1968;11-02-2017;264061948617
171;ANITA;POTOCKA;14-11-1997;26-06-2016;294061084204
172;OLENA;KOPCIUCH;27-03-1957;09-09-2016;263111746132
173;EWA;KOTLARSKA;25-08-1998;15-06-2019;266050239184
174;MARIANA;KARCZMARCZYK;25-05-1989;10-11-2016;663040640345
175;ELZBIETA;SIWICKA;18-08-1958;22-06-2017;571010451513
176;OLEKSANDR;KOCEMBA;26-09-1965;30-05-2019;370010950867
177;BOGUMIL;NIEDZIELSKI;04-06-1965;16-07-2018;662061035287
178;DAMIAN;FRANEK;11-03-2002;12-04-2017;897050144579
179;SYLWESTER;GOSCINSKI;15-07-2001;11-12-2018;196041010068
180;ROZA;DWORAKOWSKA;12-07-1962;10-09-2018;373080238447
181;GENOWEFA;GRZYWNA;20-07-1982;28-05-2019;194122950796
182;MARIKA;ELIASZ;13-09-1964;04-07-2016;261050542848
183;TATIANA;PALUS;20-10-1960;23-08-2018;465052236315
184;WITOLD;ZOLNA;30-10-1974;05-07-2019;990021415895
185;AURELIA;KUZMA;16-07-1957;06-03-2016;381092236220
186;RAFAL;LUKASZEWICZ;15-10-1969;11-04-2016;185112325283
187;JADWIGA;WEGNER;05-12-1952;15-10-2018;265012498943
188;OLENA;TWOREK;03-11-1956;20-07-2019;462033147414
189;ERYK;POLACZEK;21-06-1980;22-10-2016;900070424155
190;OLEKSANDR;KOSTYRA;31-08-1992;11-03-2019;168040622650
191;NELA;SZKUDLAREK;16-11-1954;18-10-2016;364021187739
192;ALICJA;BUSZTA;22-12-1989;14-10-2019;578101045020
193;RYSZARD;DRABEK;20-04-1988;20-05-2019;368121675686
194;KSAWERY;CHOMA;30-09-1982;20-06-2017;183091158881
195;MONIKA;KORYTOWSKA;26-06-1961;07-08-2017;774061974626
196;HANNA;NIEWIAROWSKA;12-04-1980;12-06-2018;751091560658
197;MALWINA;BARCZYNSKA;01-02-1999;16-07-2019;692040156706
198;OLEKSII;ABRAMCZYK;27-03-1992;01-09-2018;397071406664
199;BOGUMILA;MOS;05-04-1966;14-03-2017;268112027248
200;RADOSLAW;IWANIAK;14-04-1959;05-09-2017;772032683608
201;ELWIRA;LUDWINIAK;31-07-1958;21-08-2017;978021839877
202;REMIGIUSZ;POPRAWA;08-12-1954;25-07-2019;879052314049
203;DANIELA;PETRENKO;28-03-1964;29-10-2018;302121725964
204;BRYGIDA;SMOLEN;08-02-1959;05-04-2018;755082357265
205;NELA;CHACINSKA;09-09-1970;05-10-2016;188101804720
206;DARIUSZ;IWAN;24-02-1962;02-10-2016;958051544777
207;GERTRUDA;TALAGA;31-07-1988;26-01-2019;862032825480
208;WANDA;WYROBEK;09-09-1977;11-10-2016;402082190943
209;KAZIMIERA;CHRZAN;19-05-1988;16-10-2018;861041161318
210;ALEKSANDRA;LEVCHENKO;09-01-2002;14-05-2016;498041620388
211;PAULINA;CHRABASZCZ;29-12-1956;06-05-2016;271082110831
212;FRANCISZEK;SLAZYK;11-10-1953;02-01-2019;500092093730
213;MARIKA;RACIBORSKA;18-06-1957;07-05-2017;192123124613
214;SZCZEPAN;SZYMANEK;29-12-1991;23-01-2016;375112507219
215;VASYL;MAZUREK;22-07-1979;25-01-2017;792071479667
216;BARBARA;GAJEK;20-11-1959;06-11-2019;560010754951
217;BOZENA;KRASICKA;21-05-1951;01-12-2018;377013037207
218;NATALIIA;CZERNIAWSKA;29-07-1963;10-09-2019;352071142676
219;KORNELIA;PTAK;18-01-1972;25-12-2017;480071124119
220;NAZAR;WRONKOWSKI;17-11-2002;20-06-2018;778090455371
221;KALINA;NIEWCZAS;19-04-1977;14-06-2017;564072435727
222;STANISLAV;JOB;26-03-1999;28-08-2016;178110569384
223;ANNA;GLAZEWSKA;27-12-1957;20-09-2017;699012805128
224;PIOTR;KUCAB;26-04-1977;05-06-2018;766082974794
225;NATALIIA;DYLAG;07-05-1955;07-10-2019;485101593724
226;MARIKA;MARKIEWICZ;21-08-1992;09-06-2017;555040802644
227;YEVHENII;KOSEK;28-06-1981;27-01-2017;274040597439
228;BARTLOMIEJ;TREBACZ;26-08-1956;13-11-2018;293021820670
229;VICTORIA;SAS;31-05-1950;29-04-2019;760091275075
230;LIDIA;WINIARZ;11-12-1981;09-12-2019;355080877463
231;LEOKADIA;KOLODZIEJCZYK;03-02-1995;02-01-2018;457101340090
232;EUGENIA;WOJCIECHOWSKA;14-01-1992;07-02-2017;977071528713
233;ANTONI;BARTNICKI;10-06-1977;24-11-2019;952070118406
234;RYSZARD;FATYGA;01-12-1965;02-08-2019;275093060442
235;ZANETA;STOSIK;02-04-1973;24-06-2019;271091109657
236;HONORATA;MASZKOWSKA;03-06-1975;20-06-2016;581060291443
237;ANATOLII;RESZCZYNSKI;02-04-1980;01-03-2017;686040947481
238;KAMIL;NICPON;03-12-1961;10-06-2016;287123115311
239;GABRIELA;CISZAK;20-01-1996;17-01-2016;967112109424
240;BOGUSLAWA;STOINSKA;12-06-1966;17-05-2019;297080402050
241;LIUDMYLA;KULISH;16-11-1953;11-11-2019;655060232411
242;PAULA;LIPNICKA;07-11-1961;17-11-2019;502040705662
243;BARBARA;SAVCHUK;18-06-1969;01-08-2019;253041197000
244;EUGENIUSZ;TRAN;29-05-1957;28-06-2017;101071568525
245;ANTONINA;DERKACH;30-06-1994;16-11-2018;752051740675
246;NATAN;SZOSTAK;09-10-1978;14-05-2017;183073143686
247;GENOWEFA;RASINSKA;29-12-1954;31-08-2019;475071391844
248;KALINA;GROCHALA;02-12-1958;14-10-2019;689090308181
249;MALGORZATA;LUDWIG;15-06-1956;15-08-2016;262122355125
250;EDWARD;PIECHOWICZ;05-09-1965;15-06-2019;253111842036
251;BOGUSLAWA;TYSZKO;23-09-1969;24-09-2017;667012526110
252;MAKSYM;MALECKI;20-11-1983;01-05-2018;878020108101
253;ALDONA;JURKOWSKA;07-04-1955;24-10-2017;493080579276
254;KUBA;IGNATOWSKI;03-05-1967;09-11-2016;381110310766
255;INNA;BRYCHCY;17-04-1996;12-12-2016;957100858017
256;VIKTORIIA;PLOSKONKA;02-03-1958;27-12-2016;690101727345
257;EUGENIA;MATYNIA;19-12-1977;13-10-2017;275111167135
258;KUBA;STANISZEWSKI;10-06-1962;18-07-2018;584030822555
259;JOANNA;WLODKOWSKA;05-12-1980;19-03-2017;754012382124
260;IGNACY;DZIEGIEL;27-11-1954;02-12-2016;653112098192
261;OLGA;JURCZAK;18-09-1986;20-12-2019;482011555042
262;IGOR;NIZIOLEK;03-01-1959;12-06-2018;366110977343
263;KAZIMIERA;BIENKO;25-03-1968;26-06-2016;875112252443
264;MARTA;TARASIUK;18-07-1977;23-05-2016;995122624795
265;KORNELIA;PELCZARSKA;05-05-1983;09-12-2017;473052159085
266;ANNA;JAGIELSKA;29-12-1987;28-01-2017;951062031709
267;BOGUMIL;OSTAPCHUK;01-12-1954;21-02-2016;185111082556
268;MAJA;CZARKOWSKA;25-08-1976;15-02-2016;780072684829
269;DAMIAN;NEJMAN;20-11-1959;10-01-2016;478060586432
270;LIDIA;BREJNAK;17-11-1962;26-11-2017;383061085806
271;MARIAN;KISIEL;31-08-1996;24-02-2018;758121940853
272;VASYL;SPALEK;08-06-1994;07-11-2016;897080458844
273;WIOLETA;MARUT;10-10-1997;11-11-2018;559011119282
274;MONIKA;KAWULA;13-07-1987;08-06-2018;167021049929
275;JULIAN;STOBIECKI;31-01-1991;27-09-2018;669032970689
276;SANDRA;GRZEGRZOLKA;30-11-1959;07-12-2018;801042555658
277;OLIVIER;KARCZEWSKI;21-10-1982;13-02-2019;694030439400
278;WLADYSLAWA;ZOCHOWSKA;19-08-1967;15-08-2016;197090114822
279;JANINA;STASIUK;22-07-1995;23-06-2016;457040466939
280;SEWERYN;MOKRZYCKI;31-08-1982;21-12-2016;594101263357
281;HELENA;DOMACHOWSKA;22-11-1999;26-09-2017;650060424372
282;JANUSZ;KORNACKI;03-05-1952;27-09-2016;257011212514
283;TOMASZ;SLOWIKOWSKI;20-07-1996;11-08-2016;383061423355
284;IZABELA;BEREZOWSKA;14-02-1998;20-03-2019;559031342192
285;ANITA;SZARZYNSKA;07-02-1981;06-04-2018;655050550798
286;KINGA;KWASNIK;30-01-1962;31-03-2018;500113089422
287;AGNIESZKA;STYPULA;06-10-2000;24-03-2016;480040372643
288;KAROL;MELLER;05-11-1958;22-08-2016;766112890745
289;LIUBOV;MORYS;21-06-1957;31-07-2017;380022146569
290;BERNADETA;GLUCH;11-12-1992;26-05-2019;269021184376
291;NINA;KOZAR;20-06-1996;25-11-2018;664090898800
292;SERHII;ZALESKI;27-11-1954;29-11-2019;887123032039
293;REMIGIUSZ;JAMKA;11-01-1952;03-08-2019;275081118013
294;JAGODA;GRAB;02-05-1972;06-03-2018;858042541629
295;OLEKSANDRA;TWORZYDLO;27-05-1993;21-06-2016;162030841494
296;STANISLAV;POPRAWSKI;19-12-1956;13-07-2017;274041750448
297;DAMIAN;PASTOR;19-07-1971;26-07-2019;855031745838
298;LILIIA;WOJTERA;14-02-1973;04-12-2018;380022605421
299;SARA;PLUCIENNIK;17-02-1970;08-09-2018;959011694440
300;VITALII;CZACHOR;08-09-2000;13-09-2019;674081004748
301;BOZENA;CZUPRYNSKA;21-02-1976;19-07-2018;771091218836
302;LILIANA;RADOMSKA;23-08-1955;15-10-2016;772011270747
303;OLEKSANDR;TRETIAK;12-09-2001;17-03-2018;892012803761
304;BOGUSLAW;KIRAGA;22-07-1958;31-03-2018;664011774585
305;WIESLAW;BANDURSKI;04-04-1965;16-12-2016;269030140627
306;HENRYKA;KOTARBA;13-02-1981;15-04-2018;576081663320
307;MIKOLAJ;SZYCH;18-09-1975;17-03-2019;283122879701
308;GRACJAN;MROZ;13-04-1995;13-07-2019;999021743000
309;MACIEJ;MACIASZCZYK;12-11-1988;13-12-2016;388091201995
310;MARIUSZ;GLUCHOWSKI;02-12-1969;07-06-2018;565051181685
311;ZBIGNIEW;KRASON;10-01-1990;04-12-2019;254011061817
312;LILIANNA;WOLOS;10-02-1978;08-01-2018;381020361177
313;YELYZAVETA;KSIAZEK;07-10-1990;28-06-2016;676060388883
314;IRENEUSZ;PIEKOS;17-03-1997;17-06-2018;760102488260
315;LAURA;PONIEWIERSKA;25-09-1988;06-06-2019;651041188145
316;MONIKA;PAKULA;28-04-1982;15-09-2018;957082762111
317;LIUBOV;KWIECIEN;02-11-1978;04-03-2019;377102717463
318;EMIL;BLOCH;07-12-1978;10-01-2017;859112267091
319;MARTA;SZULCZEWSKA;04-07-1993;07-07-2017;372060902975
320;POLA;GRAB;09-01-1989;01-10-2019;884111057845
321;CELINA;KAISER;08-03-2002;13-08-2016;579122113762
322;LEON;SKONECZNY;14-03-1967;05-01-2017;876042146077
323;GABRIELA;IWANIUK;19-06-1990;16-04-2017;364100110400
324;LIUBOV;KOCZWARA;12-05-1980;06-01-2019;598052837526
325;GERTRUDA;STUPAK;24-06-1998;01-02-2017;790052672978
326;MARCELINA;ZIETEK;24-01-1961;12-03-2019;453072870062
327;WIESLAWA;PATER;10-12-1954;07-12-2019;879052012604
328;MICHAL;JEZNACH;22-05-1967;03-04-2019;198082774666
329;MARIANA;ROKICKA;08-03-1987;28-07-2016;585081602562
330;ANIELA;KAMIENIECKA;07-08-1957;18-07-2019;875092895188
331;ARKADIUSZ;DOBIES;28-01-1992;13-08-2016;398040280430
332;GERTRUDA;JASINSKA;28-03-1963;28-05-2019;480052278221
333;CEZARY;SEKULA;17-11-1987;29-07-2017;400120951554
334;SZCZEPAN;SKORA;22-08-1969;25-11-2017;852090943463
335;CECYLIA;BOCHENSKA;27-05-1968;14-10-2017;700112361673
336;JAROSLAW;OLEDZKI;27-06-1997;12-07-2019;881062314513
337;VOLODYMYR;KARDASZ;07-07-1971;04-02-2016;563050877063
338;ILONA;ALBRECHT;13-09-1985;27-06-2016;997110763810
339;HENRYK;OBRZUT;30-12-2000;06-04-2018;383101283520
340;LESZEK;SIEJKA;24-01-2000;02-02-2017;893022603149
341;MAKSYMILIAN;KUSYK;19-01-2002;09-02-2018;602122356017
342;RENATA;SOLAREK;01-05-1953;10-11-2016;566032971945
343;ALAN;DZIECIOL;17-12-1996;06-07-2019;697080979076
344;ANETA;WYSOCZANSKA;16-04-1975;19-04-2018;889080186861
345;YAROSLAV;KUSMIREK;01-08-1976;21-06-2017;766062167597
346;YELYZAVETA;KUCZEK;10-03-1978;21-08-2016;954082703917
347;OLGA;LECHOWICZ;31-08-1986;27-10-2019;268052863584
348;STEFANIA;ZEBROWSKA;02-06-1968;29-03-2016;766011403285
349;PETRO;STRZEPEK;18-09-1999;13-06-2018;197021735614
350;BLAZEJ;CEBULSKI;14-06-1995;19-02-2016;380080513628
351;KHRYSTYNA;ZAPADKA;18-02-1984;24-08-2018;457050421357
352;WIKTORIA;ROMANIK;30-11-1955;15-06-2018;887020494091
353;NATALIA;BOSEK;26-10-1992;26-10-2016;483062367298
354;MIROSLAW;MACIOL;30-05-1969;16-06-2019;482052184391
355;ELIZA;BOGUSZ;13-04-1972;21-06-2018;853052875940
356;LEOKADIA;BORYSENKO;25-01-1980;04-01-2017;761081728336
357;WERONIKA;BARTMAN;15-12-1991;20-05-2017;789100197483
358;BOZENA;LANG;01-09-1992;21-07-2019;788070377460
359;LILIANNA;LYSON;27-07-1981;17-03-2018;478073179703
360;MIROSLAWA;MATUSIK;19-04-1959;05-08-2018;761052231222
361;INNA;SZKODA;01-06-1972;13-05-2018;181110159504
362;ARTEM;SKRZYPCZAK;07-05-1988;06-12-2018;582110531754
363;VICTORIA;DZIEWIECKA;19-05-1981;28-10-2018;767052466870
364;WLADYSLAW;BARTCZAK;25-10-1996;30-12-2018;857111134760
365;JOZEFA;PAWLIK;05-04-1970;04-05-2018;757040664192
366;OLIVIA;BRZEZINSKA;12-10-1968;22-05-2017;885101247917
367;GERTRUDA;ENGEL;17-08-1969;21-08-2017;789082401563
368;WACLAW;DOBIES;27-10-1954;17-09-2019;787010167910
369;WIESLAWA;LUKASZEK;01-12-1998;30-03-2018;195090278613
370;ROZA;RYGIELSKA;21-08-1970;05-01-2017;573120765390
371;ANTON;PRYKHODKO;18-10-1970;05-03-2019;968061440349
372;GERTRUDA;CZERWIEC;25-09-1955;13-04-2018;454112330734
373;SIARHEI;CIOSEK;22-07-1976;30-01-2018;400122890131
374;RUSLAN;SYDOR;18-06-2002;19-05-2017;586092806420
375;IWONA;SKOWRONEK;14-12-1976;26-08-2016;380082956528
376;ANITA;RADWAN;27-04-1964;09-10-2017;691092409548
377;PIOTR;POPOWICZ;04-12-1956;17-12-2019;682050699548
378;OLIVIER;SZCZYGIELSKI;18-10-1999;13-04-2019;373080904310
379;POLINA;KRUSZEWSKA;21-11-1992;11-08-2019;974101039309
380;FABIAN;SAWKO;06-02-1951;30-09-2017;458122786145
381;MICHALINA;JORDAN;14-12-1966;21-01-2017;769111192161
382;KRZYSZTOF;NOGA;03-07-2002;15-07-2018;450122571309
383;OKSANA;KOCIK;04-11-1954;11-07-2018;267112749002
384;ANTONINA;JEDRZEJCZAK;08-09-1971;15-10-2017;656052554663
385;TAMARA;SIENNICKA;01-11-1976;12-10-2018;768071774851
386;EUGENIA;BUTENKO;15-02-1967;11-01-2019;999051785604
387;IWONA;DZIEDZIC;24-01-1958;28-10-2018;790120782990
388;JULIAN;BABYCH;08-07-1999;11-12-2019;596090867938
389;KATARZYNA;LUKASZUK;30-04-1970;02-11-2018;652031665600
390;SLAWOMIR;JEZAK;02-01-1973;20-02-2017;952050899046
391;DANIEL;STACHON;16-10-1972;30-12-2016;962042340157
392;REMIGIUSZ;KARKOSZKA;22-12-1993;21-05-2018;272020731498
393;WLADYSLAWA;BACH;14-03-1969;30-09-2018;165022451202
394;SEBASTIAN;GLINKOWSKI;27-07-1966;18-06-2017;982080139294
